,team_idx,team
3733,390,Grupo Desportivo São Paio De Oleiros
3749,391,Movol
3752,392,Viana Runners
3760,393,Team4ce
3764,394,A.R.De Negrelos
3769,395,Papakm
3770,396,Gdc Estaleiros Navais
3796,397,Comrades
3804,398,Atc
3849,399,Queo
3850,400,Unicer - Vitalis
3858,401,Caldas S. Jorge Sport Club
3863,402,Namadores
3871,403,Clube Corrida Inout Pq Aguda
3872,404,Alvelinhos Running
3874,405,Oreapd
3880,406,Nucleo De Karaté E Atletismo De Roriz
3885,407,Clube Viametro
3895,408,Sociedade Recreio Cepanense
3905,409,Btt-Carreira
3921,410,Bom Pastor
3922,411,Tiago Cadete - Living
3926,412,Covilhetes
3935,413,Runplay
3937,414,Leões Do Veneza
3966,415,Amigos Do Energia
3968,416,Deuses Das Montanhas
3974,417,Hp Constituição Running Team
3977,418,Soldado Desconhecido
3980,419,Pezinhos De Lã
3994,420,Ice Power
3995,421,Afisovar
3996,422,Arcorun
4004,423,Locomotiva De Paranhos
4019,424,Edp Escmov
4020,425,"Atenção, Pai Babado A Correr!"
4023,426,Falta Muito???
4028,427,Ccdtc.M. Gondomar
4032,428,Chillout
4034,429,Familia
4044,430,Grupo Cult. E Desp. Empreg. Banco Pinto & Sotto M.
4049,431,Olhanense
4051,432,Bem Dispostos
4080,433,Elite
4107,434,Cave Esposende
4112,435,Piscinas S.Pedro Da Cova
4116,436,S. S. Montepio
4137,437,Família Ferreira
4144,438,Clube Vodafone
4146,439,Cgd Monte Dos Burgos
4147,440,Porto Runers
4178,441,A. C. R. Vigorosa
4203,442,Hbrun
4206,443,Impecilhos Da Maia
4210,444,Axa
4215,445,Cães Davenida
4223,446,Aquaplace - Academia Municipal Da Trofa
4224,447,The Masters
4227,448,Bv Moreira Maia
4233,449,Lactogal
4235,450,Gd Banco Bpi
4249,451,C R P S.Tiago
4251,452,Elite Academia
4252,453,Crps.Tiago
4253,454,2slow2run
4255,455,Run4fun
4266,456,Magic Mike
4267,457,C.B.R. Unidos Da Chiparia
4269,458,Amigos Do Parque Biologico
4298,459,No Tomorrow
4300,460,Ccc Maduragem
4301,461,Grupo Place
4317,462,Korpus Academia De Saude E Estetica
4323,463,Real Montanelas
4330,464,Bike Teknic Track
4338,465,Tartarugas Do Asfalto
4343,466,Clínica Bonfim
4344,467,Deniro Vip
4353,468,Os Flechinhas
4362,469,Famalicenses
4393,470,Fernomeno
4394,471,Sopsec Running Team
4402,472,Cosmicos
4405,473,Vaindo
4406,474,Korpus Academia De Saude Estetica
4423,475,Fama Runners
4437,476,Associação Lince Triathlon
4439,477,Garagem Fonte Da Moura
4449,478,Multifraccao Lda
4451,479,Martins
4477,480,Esbaforidos Inveterados
4490,481,Biorunners
4510,482,Pézinhos De Lã
4515,483,Inspire
4543,484,Urban Team
4546,485,Mais Infinito
4548,486,Envolvgest
4550,487,C M Maia
4552,488,Team Maria
4559,489,Clube Corrida Sollinca
4560,490,Os Azuis
4598,491,Edp - Papa Quilometros
4616,492,Liberdade Fc
4623,493,Atletismo Os Amigos De Grijo
4625,494,Armazem Do Fitness
4632,495,Bruneiro Riders
4651,496,Já Fostes
4660,497,Sopsec
4679,498,Ciclistas Cosmicos
4684,499,Bip-Bip Running Time - Academia Attitude
4717,500,Os Ligeirinhos
4731,501,Unidos Á Fresca
4746,502,Vv
4766,503,C A Arcos
4768,504,Grupo Carnaval Pindericus
4773,505,Bracaragourmet.Com
4780,506,Confraria Da Bike Clube
4788,507,Casa Pessoal Rtp - Porto
4806,508,Knock Out
4816,509,Lixaplace
4839,510,Ipbrick
4840,511,Ffitness Gaia
4854,512,Novasemente Gd
4857,513,Fogaças
4866,514,"Banco Carregosa, Sa"
4871,515,C.A.U.D.A.
4882,516,Associação Moinho De Vermoim
4893,517,Ams
